review_id,user_id,product,brand,rating,date,source,has_rating,review_year,review_month,review_length
REV_000001,USER_ANON_02122,iPhone 17 Pro Max,iPhone,4.0,2025-09-11 00:00:00,GSM Arena,True,2025.0,9.0,197
REV_000070,USER_ANON_00002,Edge 60 Neo,Edge,,2025-09-11 00:00:00,GSM Arena,False,2025.0,9.0,190
REV_000082,USER_ANON_01158,iPad (2025),iPad,2.0,2025-09-11 00:00:00,GSM Arena,True,2025.0,9.0,253
REV_000081,USER_ANON_01299,Galaxy A07 4G,Galaxy,,2025-09-11 00:00:00,GSM Arena,False,2025.0,9.0,135
REV_000080,USER_ANON_01303,Galaxy A07 4G,Galaxy,,2025-09-11 00:00:00,GSM Arena,False,2025.0,9.0,70
REV_000079,USER_ANON_00580,iQOO Z10 Turbo+,iQOO,,2025-09-11 00:00:00,GSM Arena,False,2025.0,9.0,61
REV_000078,USER_ANON_01304,Galaxy A07 4G,Galaxy,4.0,2025-09-11 00:00:00,GSM Arena,True,2025.0,9.0,1062
REV_000076,USER_ANON_01112,iPhone 17 Pro,iPhone,4.0,2025-09-11 00:00:00,GSM Arena,True,2025.0,9.0,748
REV_000075,USER_ANON_00413,Note 70T,Note,,2025-09-11 00:00:00,GSM Arena,False,2025.0,9.0,174
REV_000074,USER_ANON_00181,Nord 5,Nord,,2025-09-11 00:00:00,GSM Arena,False,2025.0,9.0,233
REV_000073,USER_ANON_01589,Galaxy A07 4G,Galaxy,,2025-09-11 00:00:00,GSM Arena,False,2025.0,9.0,91
REV_000072,USER_ANON_02239,iPhone Air,iPhone,,2025-09-11 00:00:00,GSM Arena,False,2025.0,9.0,69
REV_000071,USER_ANON_02238,iPhone Air,iPhone,,2025-09-11 00:00:00,GSM Arena,False,2025.0,9.0,737
REV_000069,USER_ANON_02237,iPhone Air,iPhone,1.0,2025-09-11 00:00:00,GSM Arena,True,2025.0,9.0,662
REV_000056,USER_ANON_02270,iPhone 17,iPhone,,2025-09-11 00:00:00,GSM Arena,False,2025.0,9.0,233
REV_000068,USER_ANON_02236,iPhone Air,iPhone,,2025-09-11 00:00:00,GSM Arena,False,2025.0,9.0,343
REV_000067,USER_DAV_172522ec,iPhone Air,iPhone,,2025-09-11 00:00:00,GSM Arena,False,2025.0,9.0,181
REV_000066,USER_EM2_3a653ef9,iPhone Air,iPhone,,2025-09-11 00:00:00,GSM Arena,False,2025.0,9.0,184
REV_000065,USER_ANON_00220,13s,13s,,2025-09-11 00:00:00,GSM Arena,False,2025.0,9.0,133
REV_000064,USER_ANON_02233,iPhone Air,iPhone,,2025-09-11 00:00:00,GSM Arena,False,2025.0,9.0,169
REV_000063,USER_ANON_02232,iPhone Air,iPhone,,2025-09-11 00:00:00,GSM Arena,False,2025.0,9.0,240
REV_000062,USER_ANON_02231,iPhone Air,iPhone,,2025-09-11 00:00:00,GSM Arena,False,2025.0,9.0,260
REV_000061,USER_ANON_02230,iPhone Air,iPhone,,2025-09-11 00:00:00,GSM Arena,False,2025.0,9.0,66
REV_000060,USER_ANON_02229,iPhone Air,iPhone,2.0,2025-09-11 00:00:00,GSM Arena,True,2025.0,9.0,222
REV_000059,USER_ANON_02228,iPhone Air,iPhone,,2025-09-11 00:00:00,GSM Arena,False,2025.0,9.0,242
REV_000058,USER_ANON_02234,iPhone Air,iPhone,,2025-09-11 00:00:00,GSM Arena,False,2025.0,9.0,55
REV_000083,USER_ANON_01135,Watch Ultra 3,Watch,,2025-09-11 00:00:00,GSM Arena,False,2025.0,9.0,95
REV_000084,USER_ANON_01121,iPhone Air,iPhone,,2025-09-11 00:00:00,GSM Arena,False,2025.0,9.0,356
REV_000085,USER_ANON_01114,iPhone 17 Pro,iPhone,,2025-09-11 00:00:00,GSM Arena,False,2025.0,9.0,118
REV_000086,USER_ANON_01113,iPhone 17 Pro,iPhone,,2025-09-11 00:00:00,GSM Arena,False,2025.0,9.0,243
REV_000002,USER_ANON_02225,iPhone Air,iPhone,,2025-09-11 00:00:00,GSM Arena,False,2025.0,9.0,92
REV_000108,USER_ANON_01563,Galaxy Tab S10 Lite,Galaxy,5.0,2025-09-11 00:00:00,GSM Arena,True,2025.0,9.0,202
REV_000107,USER_ANON_00829,Reno14,Reno14,,2025-09-11 00:00:00,GSM Arena,False,2025.0,9.0,321
REV_000106,USER_ANON_01448,Galaxy F17,Galaxy,,2025-09-11 00:00:00,GSM Arena,False,2025.0,9.0,72
REV_000105,USER_ANON_01392,Galaxy S25 Edge,Galaxy,,2025-09-11 00:00:00,GSM Arena,False,2025.0,9.0,73
REV_000104,USER_ANON_01456,Galaxy S25 FE,Galaxy,,2025-09-11 00:00:00,GSM Arena,False,2025.0,9.0,568
REV_000103,USER_ANON_01455,Galaxy S25 FE,Galaxy,,2025-09-11 00:00:00,GSM Arena,False,2025.0,9.0,474
